driverId,truckId,eventTime
14,25,00:55.2
31,18,00:55.3
17,15,00:55.5
23,68,00:55.8
20,41,00:55.8
29,66,00:55.9
18,16,00:56.0
31,18,00:56.3
19,26,59:21.7
20,41,59:21.7
29,66,59:21.7
10,85,59:21.7
32,42,59:21.8
26,57,59:21.7
17,15,59:22.3
21,109,59:22.3
30,58,59:22.5
10,85,59:22.5
15,51,59:22.6
23,68,59:23.1
22,87,59:23.2
11,74,59:23.3
24,97,59:23.4
32,42,59:23.4
12,104,59:23.4
23,68,59:24.0
28,39,59:24.1
19,26,59:24.2
18,16,59:24.2
10,85,59:24.3
26,57,59:24.3
23,68,59:24.9
28,39,59:25.0
12,104,59:25.1
15,51,59:25.2
10,85,59:25.2
11,74,59:25.7
12,104,59:25.8
28,39,59:25.9
32,42,59:25.9
10,85,59:26.0
24,97,59:26.0
26,57,59:26.2
18,16,59:26.6
21,109,59:26.7
13,89,59:26.9
15,51,59:27.0
14,25,59:26.9
11,74,59:27.4
12,104,59:27.4
17,15,59:27.6
10,85,59:27.6
15,51,59:27.9
29,66,59:28.0
18,16,59:28.2
27,105,59:28.4
22,87,59:28.4
32,42,59:28.6
24,97,59:28.7
11,74,59:29.1
18,16,59:29.1
10,85,59:29.2
28,39,59:29.3
14,25,59:29.6
24,97,59:29.7
31,18,59:29.8
29,66,59:29.8
10,85,59:30.2
28,39,59:30.2
30,58,59:30.7
26,57,59:30.7
11,74,59:30.8
27,105,59:31.0
20,41,59:31.1
14,25,59:31.2
25,96,59:31.4
31,18,59:31.5
23,68,59:31.7
22,87,59:31.8
27,105,59:31.9
14,25,59:32.2
13,89,59:32.3
15,51,59:32.6
12,104,59:32.6
11,74,59:32.7
10,85,59:32.9
13,89,59:33.1
24,97,59:33.3
16,12,59:33.4
12,104,59:33.6
22,87,59:33.7
27,105,59:33.8
31,18,59:33.9
30,58,59:34.2
18,16,59:34.5
17,15,59:34.5
32,42,59:34.6
20,41,59:34.6
24,97,59:34.9
23,68,59:35.1
16,12,59:35.2
17,15,59:35.5
21,109,59:35.6
13,89,59:35.6
15,51,59:35.9
16,12,59:36.0
23,68,59:36.1
20,41,59:36.2
11,74,59:36.4
10,85,59:36.5
25,96,59:36.7
29,66,59:37.0
22,87,59:37.1
21,109,59:37.2
19,26,59:37.2
17,15,59:37.4
29,66,59:37.8
20,41,59:37.9
12,104,59:38.1
18,16,59:38.1
13,89,59:38.2
24,97,59:38.4
25,96,59:38.4
23,68,59:38.7
30,58,59:38.9
31,18,59:38.9
19,26,59:39.0
26,57,59:39.5
29,66,59:39.6
21,109,59:39.8
11,74,59:39.9
25,96,59:40.0
17,15,59:40.0
29,66,59:40.5
22,87,59:40.5
10,85,59:40.6
30,58,59:40.7
11,74,59:40.8
24,97,59:41.1
27,105,59:41.2
31,18,59:41.3
26,57,59:41.4
18,16,59:41.5
30,58,59:41.7
14,25,59:42.0
20,41,59:42.1
15,51,59:42.3
21,109,59:42.5
17,15,59:42.6
30,58,59:42.7
14,25,59:42.8
19,26,59:43.0
22,87,59:43.0
29,66,59:43.2
25,96,59:43.5
11,74,59:43.6
14,25,59:43.7
22,87,59:43.8
26,57,59:44.1
18,16,59:44.1
32,42,59:44.3
31,18,59:44.6
19,26,59:44.8
12,104,59:44.8
27,105,59:44.9
26,57,59:45.1
32,42,59:45.3
24,97,59:45.5
29,66,59:45.6
12,104,59:45.8
22,87,59:45.8
20,41,59:46.0
32,42,59:46.3
30,58,59:46.4
15,51,59:46.6
26,57,59:46.6
18,16,59:46.9
29,66,59:47.2
30,58,59:47.2
31,18,59:47.3
15,51,59:47.4
27,105,59:47.5
22,87,59:47.6
14,25,59:47.9
28,39,59:48.0
23,68,59:48.2
27,105,59:48.4
26,57,59:48.4
28,39,59:48.9
30,58,59:48.9
24,97,59:49.0
29,66,59:49.0
15,51,59:49.3
10,85,59:49.3
14,25,59:49.5
20,41,59:49.6
23,68,59:49.9
27,105,59:50.0
13,89,59:50.0
17,15,59:50.3
14,25,59:50.5
28,39,59:50.7
12,104,59:50.8
16,12,59:51.0
11,74,59:51.0
17,15,59:51.3
25,96,59:51.4
20,41,59:51.5
21,109,59:51.7
11,74,59:51.8
10,85,59:51.9
17,15,59:52.1
14,25,59:52.4
28,39,59:52.4
23,68,59:52.5
16,12,59:52.7
15,51,59:52.9
28,39,59:53.2
25,96,59:53.2
30,58,59:53.3
13,89,59:53.4
16,12,59:53.6
15,51,59:53.9
28,39,59:53.9
23,68,59:54.2
16,12,59:54.3
12,104,59:54.4
17,15,59:54.6
15,51,59:54.9
14,25,59:54.9
19,26,59:54.9
21,109,59:55.2
29,66,59:55.4
17,15,59:55.5
15,51,59:55.8
14,25,59:55.8
16,12,59:56.0
13,89,59:56.0
21,109,59:56.1
17,15,59:56.4
20,41,59:56.5
23,68,59:56.8
26,57,59:56.8
30,58,59:56.8
16,12,59:57.0
31,18,59:57.4
15,51,59:57.5
18,16,59:57.6
30,58,59:57.7
24,97,59:58.2
11,74,59:58.3
14,25,59:58.3
32,42,59:58.4
26,57,59:58.6
12,104,59:58.7
10,85,59:58.8
31,18,59:59.0
17,15,59:59.3
18,16,59:59.4
25,96,59:59.4
24,97,59:59.8
29,66,59:59.9
22,87,59:59.9
27,105,00:00.1
17,15,00:00.2
21,109,00:00.3
13,89,00:00.4
16,12,00:00.6
17,15,00:00.9
30,58,00:01.1
26,57,00:01.2
16,12,00:01.4
25,96,00:01.4
22,87,00:01.5
17,15,00:01.8
20,41,00:01.9
30,58,00:02.0
16,12,00:02.1
29,66,00:02.5
15,51,00:02.6
28,39,00:02.7
32,42,00:02.8
12,104,00:03.0
22,87,00:03.1
24,97,00:03.3
14,25,00:03.6
32,42,00:03.6
11,74,00:03.7
16,12,00:04.0
19,26,00:04.1
25,96,00:04.3
15,51,00:04.4
20,41,00:04.5
23,68,00:04.6
27,105,00:04.8
28,39,00:05.1
32,42,00:05.3
13,89,00:05.4
18,16,00:05.4
27,105,00:05.6
22,87,00:05.6
10,85,00:05.9
24,97,00:06.0
13,89,00:06.2
30,58,00:06.5
12,104,00:06.5
19,26,00:06.8
28,39,00:06.8
25,96,00:07.1
15,51,00:07.2
30,58,00:07.3
17,15,00:07.3
21,109,00:07.4
10,85,00:07.7
24,97,00:07.8
27,105,00:08.2
17,15,00:08.2
21,109,00:08.2
29,66,00:08.6
19,26,00:08.6
15,51,00:08.9
23,68,00:08.9
26,57,00:09.1
21,109,00:09.2
28,39,00:09.3
32,42,00:09.7
20,41,00:09.8
27,105,00:09.8
21,109,00:10.1
28,39,00:10.1
29,66,00:10.2
19,26,00:10.3
13,89,00:10.7
16,12,00:10.7
14,25,00:10.8
17,15,00:11.0
12,104,00:11.2
15,51,00:11.5
20,41,00:11.5
16,12,00:11.5
21,109,00:11.9
19,26,00:11.9
29,66,00:12.1
15,51,00:12.3
13,89,00:12.4
16,12,00:12.5
23,68,00:12.5
28,39,00:12.9
29,66,00:13.0
11,74,00:13.2
13,89,00:13.3
30,58,00:13.3
12,104,00:13.7
24,97,00:13.9
29,66,00:14.0
18,16,00:14.2
26,57,00:14.2
12,104,00:14.5
24,97,00:14.7
19,26,00:14.7
25,96,00:14.9
30,58,00:15.0
11,74,00:15.1
12,104,00:15.2
22,87,00:15.5
32,42,00:15.6
26,57,00:15.8
30,58,00:15.9
12,104,00:16.0
13,89,00:16.1
32,42,00:16.5
19,26,00:16.6
29,66,00:16.7
26,57,00:16.8
14,25,00:17.2
17,15,00:17.2
24,97,00:17.4
27,105,00:17.5
18,16,00:17.6
11,74,00:17.8
12,104,00:17.9
19,26,00:18.1
22,87,00:18.2
10,85,00:18.3
29,66,00:18.6
26,57,00:18.6
16,12,00:18.7
17,15,00:18.9
32,42,00:19.2
18,16,00:19.4
15,51,00:19.4
21,109,00:19.5
11,74,00:19.6
22,87,00:20.0
25,96,00:20.2
31,18,00:20.2
29,66,00:20.3
18,16,00:20.3
13,89,00:20.5
24,97,00:21.0
27,105,00:21.0
18,16,00:21.1
16,12,00:21.3
11,74,00:21.4
19,26,00:21.6
29,66,00:21.8
24,97,00:21.9
32,42,00:21.9
13,89,00:22.2
14,25,00:22.5
17,15,00:22.5
25,96,00:22.7
18,16,00:22.8
20,41,00:22.9
30,58,00:23.0
28,39,00:23.2
15,51,00:23.5
25,96,00:23.6
10,85,00:23.6
13,89,00:23.8
26,57,00:24.1
12,104,00:24.3
15,51,00:24.4
25,96,00:24.5
27,105,00:24.5
20,41,00:24.8
14,25,00:24.9
28,39,00:25.0
22,87,00:25.2
29,66,00:25.5
10,85,00:25.5
11,74,00:25.7
14,25,00:25.8
28,39,00:25.9
18,16,00:26.1
31,18,00:26.2
29,66,00:26.3
11,74,00:26.7
28,39,00:26.7
12,104,00:27.0
21,109,00:27.1
25,96,00:27.2
20,41,00:27.5
11,74,00:27.5
12,104,00:27.8
13,89,00:28.0
21,109,00:28.0
31,18,00:28.0
29,66,00:28.0
19,26,00:28.4
16,12,00:28.4
27,105,00:28.7
13,89,00:28.9
14,25,00:28.9
24,97,00:29.1
20,41,00:29.4
27,105,00:29.5
31,18,00:29.6
21,109,00:29.8
25,96,00:29.8
23,68,00:30.0
19,26,00:30.1
11,74,00:30.2
18,16,00:30.4
13,89,00:30.4
32,42,00:30.7
30,58,00:30.9
20,41,00:31.1
11,74,00:31.2
25,96,00:31.5
32,42,00:31.6
28,39,00:31.6
16,12,00:31.8
26,57,00:32.0
15,51,00:32.0
12,104,00:32.2
29,66,00:32.3
17,15,00:32.5
16,12,00:32.8
31,18,00:32.9
13,89,00:33.0
29,66,00:33.1
14,25,00:33.5
22,87,00:33.6
23,68,00:33.7
31,18,00:33.8
12,104,00:34.0
24,97,00:34.2
10,85,00:34.4
28,39,00:34.5
27,105,00:34.5
25,96,00:34.8
13,89,00:34.8
24,97,00:35.1
27,105,00:35.3
28,39,00:35.4
23,68,00:35.5
26,57,00:35.6
16,12,00:35.6
21,109,00:35.7
20,41,00:36.1
29,66,00:36.4
16,12,00:36.5
11,74,00:36.5
21,109,00:36.5
31,18,00:36.6
20,41,00:37.0
23,68,00:37.2
26,57,00:37.3
21,109,00:37.4
19,26,00:37.5
22,87,00:37.8
32,42,00:37.9
12,104,00:38.1
21,109,00:38.2
11,74,00:38.3
24,97,00:38.7
32,42,00:38.7
22,87,00:38.8
29,66,00:38.9
31,18,00:39.1
12,104,00:39.1
22,87,00:39.6
10,85,00:39.7
14,25,00:39.8
29,66,00:39.9
31,18,00:40.0
11,74,00:40.1
16,12,00:40.2
24,97,00:40.6
12,104,00:40.7
14,25,00:40.7
26,57,00:40.8
19,26,00:41.0
30,58,00:41.4
14,25,00:41.6
28,39,00:41.6
18,16,00:41.7
15,51,00:41.7
17,15,00:42.1
10,85,00:42.3
30,58,00:42.4
26,57,00:42.5
19,26,00:42.5
29,66,00:42.5
17,15,00:43.0
16,12,00:43.0
29,66,00:43.3
28,39,00:43.3
32,42,00:43.4
20,41,00:43.5
30,58,00:43.9
12,104,00:44.2
19,26,00:44.2
15,51,00:44.3
20,41,00:44.4
25,96,00:44.5
16,12,00:44.6
28,39,00:45.0
29,66,00:45.1
15,51,00:45.2
23,68,00:45.2
11,74,00:45.5
30,58,00:45.6
14,25,00:45.7
28,39,00:45.9
20,41,00:46.0
25,96,00:46.2
27,105,00:46.2
11,74,00:46.3
12,104,00:46.7
24,97,00:46.8
25,96,00:46.9
15,51,00:47.0
30,58,00:47.4
31,18,00:47.6
20,41,00:47.7
32,42,00:47.7
25,96,00:47.8
27,105,00:48.0
22,87,00:48.3
13,89,00:48.4
10,85,00:48.4
19,26,00:48.6
25,96,00:48.7
27,105,00:48.9
31,18,00:49.2
22,87,00:49.2
29,66,00:49.4
21,109,00:49.6
15,51,00:49.7
27,105,00:49.8
13,89,00:50.0
17,15,00:50.2
10,85,00:50.3
25,96,00:50.4
11,74,00:50.5
18,16,00:50.7
31,18,00:50.9
30,58,00:51.2
20,41,00:51.2
32,42,00:51.3
11,74,00:51.5
12,104,00:51.9
28,39,00:51.9
10,85,00:52.0
17,15,00:52.0
29,66,00:52.3
16,12,00:52.4
31,18,00:52.5
22,87,00:52.6
12,104,00:52.8
11,74,00:53.1
27,105,00:53.2
21,109,00:53.3
31,18,00:53.4
26,57,00:54.0
10,85,00:54.1
11,74,00:54.1
29,66,00:54.1
27,105,00:54.1
28,39,00:54.4
22,87,00:54.4
12,104,00:54.6
20,41,00:54.9
21,109,00:55.0
27,105,00:55.2
24,97,00:55.2
12,104,00:55.4
15,51,00:55.7
21,109,00:55.8
11,74,00:56.0
27,105,00:56.0
22,87,00:56.2
10,85,00:56.8
23,68,59:21.7
16,12,59:21.7
30,58,59:21.7
17,15,59:21.7
15,51,59:21.7
28,39,59:21.7
14,25,59:22.3
13,89,59:22.4
16,12,59:22.5
31,18,59:22.5
12,104,59:22.6
26,57,59:22.6
21,109,59:23.1
20,41,59:23.2
13,89,59:23.4
30,58,59:23.4
10,85,59:23.4
21,109,59:24.0
17,15,59:24.1
15,51,59:24.2
30,58,59:24.2
12,104,59:24.3
31,18,59:24.3
21,109,59:24.8
17,15,59:25.0
32,42,59:25.1
13,89,59:25.1
25,96,59:25.2
24,97,59:25.2
29,66,59:25.5
22,87,59:25.8
18,16,59:25.8
15,51,59:26.0
30,58,59:26.1
31,18,59:26.1
12,104,59:26.6
20,41,59:26.7
32,42,59:26.9
24,97,59:26.9
16,12,59:27.0
29,66,59:27.2
22,87,59:27.5
20,41,59:27.6
32,42,59:27.7
14,25,59:27.8
26,57,59:27.9
12,104,59:28.2
17,15,59:28.4
19,26,59:28.5
14,25,59:28.6
25,96,59:28.7
29,66,59:28.9
31,18,59:28.9
20,41,59:29.3
32,42,59:29.4
30,58,59:29.7
26,57,59:29.7
17,15,59:30.0
27,105,59:30.0
20,41,59:30.2
32,42,59:30.2
14,25,59:30.5
24,97,59:30.6
12,104,59:30.9
22,87,59:31.0
10,85,59:31.2
28,39,59:31.2
21,109,59:31.3
15,51,59:31.6
12,104,59:31.7
20,41,59:32.0
10,85,59:32.0
31,18,59:32.2
16,12,59:32.4
23,68,59:32.5
17,15,59:32.6
32,42,59:32.9
20,41,59:33.0
31,18,59:33.1
14,25,59:33.2
23,68,59:33.5
11,74,59:33.6
10,85,59:33.8
28,39,59:33.8
13,89,59:33.9
25,96,59:34.1
23,68,59:34.3
22,87,59:34.5
19,26,59:34.6
13,89,59:34.7
21,109,59:34.8
25,96,59:35.0
30,58,59:35.2
22,87,59:35.3
10,85,59:35.5
11,74,59:35.5
25,96,59:35.8
30,58,59:36.1
22,87,59:36.2
28,39,59:36.3
17,15,59:36.4
27,105,59:36.5
16,12,59:36.9
20,41,59:37.1
18,16,59:37.1
31,18,59:37.2
27,105,59:37.4
26,57,59:37.7
16,12,59:37.9
30,58,59:38.0
11,74,59:38.0
31,18,59:38.1
10,85,59:38.2
17,15,59:38.3
14,25,59:38.5
22,87,59:38.8
21,109,59:38.8
17,15,59:39.1
25,96,59:39.2
27,105,59:39.3
16,12,59:39.6
22,87,59:39.7
18,16,59:39.8
19,26,59:39.9
24,97,59:40.1
14,25,59:40.3
31,18,59:40.5
15,51,59:40.6
18,16,59:40.6
21,109,59:40.7
13,89,59:41.0
19,26,59:41.4
12,104,59:41.5
10,85,59:41.5
32,42,59:41.6
11,74,59:41.7
27,105,59:42.1
22,87,59:42.1
26,57,59:42.2
29,66,59:42.4
10,85,59:42.5
24,97,59:42.8
31,18,59:43.0
23,68,59:43.2
